giocatore,link_a,link_b
Carlos Alcaraz,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/rankings-breakdown,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/player-stats
Rafael Nadal,https://www.atptour.com/en/players/rafael-nadal/n409/rankings-breakdown,https://www.atptour.com/en/players/rafael-nadal/n409/player-stats
Casper Ruud,https://www.atptour.com/en/players/casper-ruud/rh16/rankings-breakdown,https://www.atptour.com/en/players/casper-ruud/rh16/player-stats
Stefanos Tsitsipas,https://www.atptour.com/en/players/stefanos-tsitsipas/te51/rankings-breakdown,https://www.atptour.com/en/players/stefanos-tsitsipas/te51/player-stats
Novak Djokovic,https://www.atptour.com/en/players/novak-djokovic/d643/rankings-breakdown,https://www.atptour.com/en/players/novak-djokovic/d643/player-stats
Felix Auger-Aliassime,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/rankings-breakdown,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/player-stats
Daniil Medvedev,https://www.atptour.com/en/players/daniil-medvedev/mm58/rankings-breakdown,https://www.atptour.com/en/players/daniil-medvedev/mm58/player-stats
Andrey Rublev,https://www.atptour.com/en/players/andrey-rublev/re44/rankings-breakdown,https://www.atptour.com/en/players/andrey-rublev/re44/player-stats
Taylor Fritz,https://www.atptour.com/en/players/taylor-fritz/fb98/rankings-breakdown,https://www.atptour.com/en/players/taylor-fritz/fb98/player-stats
Hubert Hurkacz,https://www.atptour.com/en/players/hubert-hurkacz/hb71/rankings-breakdown,https://www.atptour.com/en/players/hubert-hurkacz/hb71/player-stats
Holger Rune,https://www.atptour.com/en/players/holger-rune/r0dg/rankings-breakdown,https://www.atptour.com/en/players/holger-rune/r0dg/player-stats
Alexander Zverev,https://www.atptour.com/en/players/alexander-zverev/z355/rankings-breakdown,https://www.atptour.com/en/players/alexander-zverev/z355/player-stats
Pablo Carreno Busta,https://www.atptour.com/en/players/pablo-carreno-busta/cd85/rankings-breakdown,https://www.atptour.com/en/players/pablo-carreno-busta/cd85/player-stats
Cameron Norrie,https://www.atptour.com/en/players/cameron-norrie/n771/rankings-breakdown,https://www.atptour.com/en/players/cameron-norrie/n771/player-stats
Jannik Sinner,https://www.atptour.com/en/players/jannik-sinner/s0ag/rankings-breakdown,https://www.atptour.com/en/players/jannik-sinner/s0ag/player-stats
